site,year,county_name,state,statefip,countyfip,statefip_countyfip,source,pop_adult_AIAN_any_ethnicity,pop_adult_A_any_ethnicity,pop_adult_PI_any_ethnicity,pop_adult_any_ethnicity,pop_adult_black_any_ethnicity,pop_adult_hispanic_any_race,pop_adult_white_any_ethnicity,pop_adult_white_non_hispanic,pop_total_AIAN_any_ethnicity,pop_total_AIAN_female_any_ethnicity,pop_total_AIAN_male_any_ethnicity,pop_total_A_any_ethnicity,pop_total_A_female_any_ethnicity,pop_total_A_male_any_ethnicity,pop_total_PI_any_ethnicity,pop_total_PI_female_any_ethnicity,pop_total_PI_male_any_ethnicity,pop_total_any_ethnicity,pop_total_black_any_ethnicity,pop_total_black_female_any_ethnicity,pop_total_black_male_any_ethnicity,pop_total_female_any_ethnicity,pop_total_hispanic_any_race,pop_total_hispanic_female_any_race,pop_total_hispanic_male_any_race,pop_total_male_any_ethnicity,pop_total_white_any_ethnicity,pop_total_white_female_any_ethnicity,pop_total_white_female_non_hispanic,pop_total_white_male_any_ethnicity,pop_total_white_male_non_hispanic,pop_total_white_non_hispanic,pop_total_non_hispanic,pop_total_black_non_hispanic,pop_total_AIAN_non_hispanic,pop_total_A_non_hispanic,pop_total_PI_non_hispanic,pop_total_white_hispanic_only,pop_total_black_hispanic_only,pop_total_AIAN_hispanic_only,pop_total_A_hispanic_only,pop_total_PI_hispanic_only,pop_total_API_any_ethnicity,pop_total_API_male_any_ethnicity,pop_total_API_female_any_ethnicity,pop_adult_API_any_ethnicity,pop_total_API_non_hispanic,pop_total_poc,pop_total_poc_male,pop_total_poc_female,pop_adult_poc
Ada,2014,Ada,Idaho,16,001,16001,2014 1/5 Year ACS,1814,9708,540,319180,2964,21113,294206,278354,2313,1206,1107,13063,6503,6560,832,453,379,426236,4336,1777,2559,212722,32987,15724,17263,213514,388704,194319,182247,194385,181554,363801,378827,4165,1938,10787,790,23463,171,375,282,42,13895,6939,6956,10248,11577,37532,10605,9939,24974
Ada,2015,Ada,Idaho,16,001,16001,2015 1/5 Year ACS,1834,8527,493,327150,3092,22491,301587,284176,2377,1197,1180,11127,5929,5198,694,384,310,434211,4741,2096,2645,216310,34729,16413,18316,217901,397109,198263,185167,198846,184194,369361,385671,4579,1928,10732,657,24444,162,449,395,37,11821,5508,6313,9020,11389,37102,9333,9606,25563
Ada,2016,Ada,Idaho,16,001,16001,2016 1/5 Year ACS,1977,8765,481,335696,3309,23573,307577,291571,2439,1202,1237,11778,6583,5195,648,360,288,444028,5253,2199,3054,221878,35900,17282,18618,222150,402851,201666,189132,201185,188464,377596,392893,4999,1913,10327,585,24571,254,526,297,63,12426,5483,6943,9246,10912,41177,9774,10344,28119
Ada,2017,Ada,Idaho,16,001,16001,2017 1/5 Year ACS,1955,8114,563,346320,3518,24904,316336,298822,2369,1114,1255,11031,6180,4851,660,374,286,456849,5615,2321,3294,225833,37569,17564,20005,231016,411580,205058,193315,206522,192508,385823,400889,5412,1874,11098,525,24938,203,495,209,135,11691,5137,6554,8677,11623,45269,9686,9989,29984
Ada,2018,Ada,Idaho,16,001,16001,2018 1/5 Year ACS,2174,11199,833,358943,3926,26173,326037,308333,2525,1202,1323,14535,6919,7616,908,531,377,469966,6204,2537,3667,234070,39076,18459,20617,235896,423193,209215,198050,213978,198468,396518,410214,5682,1805,11694,713,25813,522,720,262,195,15443,7993,7450,12032,12407,46773,12983,11189,32906
Ada,2019,Ada,Idaho,16,001,16001,2019 1/5 Year ACS,2084,9703,775,369859,3861,27894,336718,317005,2407,1189,1218,11196,5611,5585,839,510,329,481587,6274,2567,3707,239466,41045,19518,21527,242121,434358,215946,202182,218412,202642,404824,419380,5868,1769,11298,625,26563,406,638,319,214,12035,5914,6121,10478,11923,47229,10839,9877,33141
Ada,2020,Ada,Idaho,16,001,16001,2020 1/5 Year ACS,2389,9469,888,358787,4077,26349,324260,308317,2694,1419,1275,12075,6692,5383,924,680,244,469473,5976,2247,3729,234388,39526,19492,20034,235085,419619,209114,197394,210505,197836,395230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12999,5627,7372,10357,NA,49854,10631,11038,34527
Ada,2020,Ada,Idaho,16,001,16001,2019 1/5 Year ACS,2084,9703,775,369859,3861,27894,336718,317005,2407,1189,1218,11196,5611,5585,839,510,329,481587,6274,2567,3707,239466,41045,19518,21527,242121,434358,215946,202182,218412,202642,404824,419380,5868,1769,11298,625,26563,406,638,319,214,12035,5914,6121,10478,11923,47229,10839,9877,33141
Ada,2021,Ada,Idaho,16,001,16001,2021 1/5 Year ACS,2216,11062,924,396040,4230,32009,336425,331591,2869,1573,1296,13718,6286,7432,1126,722,404,511931,6303,2428,3875,254596,46608,22905,23703,257335,426899,212482,207964,214417,211182,419146,443043,5830,1974,12340,978,20557,473,895,127,148,14844,7836,7008,11986,13318,85032,13007,11009,59615
Ada,2022,Ada,Idaho,16,001,16001,2022 1/5 Year ACS,2418,11408,881,406068,4227,33858,344478,336934,2938,1331,1607,14165,7877,6288,1081,662,419,518907,6260,2574,3686,256282,49193,24045,25148,262625,431985,214859,208254,217126,211708,419962,453177,5815,1668,12672,990,17666,445,1270,195,91,15246,6707,8539,12289,13662,86922,12000,12444,61590
